"År","Gjennomsnitt_Pris"
"2008",1879683.64269663
"2009",1871840.0411985
"2010",1888696.61163522
"2011",2049826.78817056
"2012",2132686.42307692
"2013",2204670.22256098
"2014",2240800
"2015",2199994.41340782
"2016",2277545.90646492
"2017",2347992.96231884
"2018",2274375.59606657
"2019",2270415.4077961
"2020",2321959.77722772
"2021",2462073.62068966
"2022",2575373.59198999
"2023",2750242.94509804
